#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population
207,Saint Kitts and Nevis,34,,,,31,3,,637,,"6,091","114,064","53,400"
201,Dominica,109,,,,101,8,,"1,512",,"8,114","112,566","72,082"
82,China,"87,706",115,"4,634",,"82,288",784,21,61,3,"160,000,000","111,163","1,439,323,776"
71,Oman,"131,086",142,"1,508",,"123,415","6,163",21,"25,330",291,"571,472","110,428","5,175,047"
54,Costa Rica,"181,093",,"2,367",,"139,297","39,429",247,"35,377",462,"535,554","104,623","5,118,918"
150,Djibouti,"5,891",12,61,,"5,808",22,,"5,917",61,"103,524","103,978","995,631"
218,Wallis and Futuna,4,,,,1,3,,359,,"1,149","103,216","11,132"
87,Albania,"65,334",707,"1,256",4,"38,860","25,218",39,"22,716",437,"296,014","102,922","2,876,110"
95,El Salvador,"49,539",,"1,447",10,"43,810","4,282",105,"7,617",222,"650,658","100,044","6,503,702"
15,Iran,"1,305,339","6,317","56,457",97,"1,094,388","154,494","4,469","15,436",668,"8,316,375","98,343","84,564,648"
86,S. Korea,"70,212",561,"1,185",20,"54,636","14,391",374,"1,369",23,"4,872,312","94,990","51,292,838"
